Date,TESLA,SP500,DBS,ST
15/06/2000,,0.005553931,0.018790891,0.005228561
16/06/2000,,-0.009697037,-0.057466338,-0.010923451
19/06/2000,,0.014601372,-0.019913503,-0.009555945
20/06/2000,,-0.006786096,0.014986538,0.005783683
21/06/2000,,0.002152227,0.048319661,0.013725587
22/06/2000,,-0.018388201,-0.004717249,-0.002785288
23/06/2000,,-0.007395512,0.009412349,0.002176669
26/06/2000,,0.009548573,0.018616483,-0.000913624
27/06/2000,,-0.003276141,0.013751577,0.006243346
28/06/2000,,0.002939387,0,0.012688956
29/06/2000,,-0.008580722,0,-0.003984656
30/06/2000,,0.008429489,0.009028933,-0.004790194
03/07/2000,,0.010218478,0.03542283,0.017727377
04/07/2000,,0,0.008638061,-0.003132532
05/07/2000,,-0.015989256,0,0.00123063
06/07/2000,,0.007192838,0,-0.008808003
07/07/2000,,0.015145559,-0.030616968,0.010088889
10/07/2000,,-0.002220328,-0.054840916,-0.0017805
11/07/2000,,0.003558265,0.03236806,0.00564616
12/07/2000,,0.008097428,-0.009164413,0.001110432
13/07/2000,,0.001953988,0.018193346,-0.010644183
14/07/2000,,0.009408484,-0.009028933,-0.003532224
17/07/2000,,0.000337696,0.026897187,0.014204503
18/07/2000,,-0.011151059,0.004404842,0.001894671
19/07/2000,,-0.007917506,0.013149734,0.016552287
20/07/2000,,0.009141869,0,-0.00087382
21/07/2000,,-0.010336947,-0.017554576,-0.00571703
24/07/2000,,-0.010799975,-0.017868254,-0.012736831
25/07/2000,,0.00692812,0.022273096,0.000730867
26/07/2000,,-0.015067472,-0.026777372,-0.013347204
27/07/2000,,-0.001929678,-0.018276234,-0.009820624
28/07/2000,,-0.020722049,-0.032768438,-0.011279239
31/07/2000,,0.007675292,-0.004817685,0.006941671
01/08/2000,,0.005068102,0,0.00982497
02/08/2000,,0.00041713,0.009557292,-0.002113959
03/08/2000,,0.009587589,-0.009557292,-0.011221715
04/08/2000,,0.007113757,-0.004785231,0.004112266
07/08/2000,,0.011141249,0.023754872,0.002042607
08/08/2000,,0.00234967,0.036892716,-0.001552001
09/08/2000,,-0.006719314,0,0
10/08/2000,,-0.008605224,0.026777372,0.018089174
11/08/2000,,0.007905665,0,0.004043704
14/08/2000,,0.013309233,0.013149734,0.01475809
15/08/2000,,-0.004791692,-0.021978907,0.00788
16/08/2000,,-0.003090129,0.004424331,0.017358207
17/08/2000,,0.010900939,0.013156743,0.006481815
18/08/2000,,-0.002911853,-0.017581073,-0.005456524
21/08/2000,,0.005188565,0,0.005887454
22/08/2000,,-0.000900718,0.026307264,0.009536026
23/08/2000,,0.005219545,-0.008726191,-0.011800483
24/08/2000,,0.00155261,-0.026540918,-0.009345525
25/08/2000,,-0.001233929,-0.022677425,0.000739794
28/08/2000,,0.005058709,0.004566218,-0.003845634
29/08/2000,,-0.002810913,-0.027769865,-0.005548986
30/08/2000,,-0.004813399,-0.009412349,0.001862228
31/08/2000,,0.009992567,-0.014342522,-0.010417072
01/09/2000,,0.002033932,0.019059771,0.005058963
04/09/2000,,0,0.032464965,0.015789934
05/09/2000,,-0.009042782,-0.027769865,-0.007578873
06/09/2000,,-0.009888956,-0.009412349,-0.00766431
07/09/2000,,0.006851995,-0.009557292,-0.009827238
08/09/2000,,-0.00534534,0.018969641,-0.001987315
11/09/2000,,-0.00351235,0.01400818,-0.006144742
12/09/2000,,-0.004893573,-0.01400818,-0.012716483
13/09/2000,,0.001968385,-0.014151956,-0.000265272
14/09/2000,,-0.002724411,-0.004817685,-0.005472698
15/09/2000,,-0.010221762,-0.01442494,-0.00846737
18/09/2000,,-0.014637827,-0.009790407,-0.017856925
19/09/2000,,0.010597777,-0.014781134,-0.000910083
20/09/2000,,-0.005880673,-0.015061489,-0.008405931
21/09/2000,,-0.001579098,-0.010129054,-0.010924622
22/09/2000,,-0.000227761,-0.025841541,-0.025684755
25/09/2000,,-0.006711132,0.020738278,0.020857103
26/09/2000,,-0.008247786,0.010180615,0.005531093
27/09/2000,,-0.000448528,-0.036156101,-0.009097986
28/09/2000,,0.021991555,0,-0.002302622
29/09/2000,,-0.015047956,0.010447131,0.019650197
02/10/2000,,-0.000194936,0.00518292,-0.011961948
03/10/2000,,-0.006825774,0.015448698,0.005759994
04/10/2000,,0.005495019,0.010129054,-0.001693607
05/10/2000,,0.001365568,0.029842623,0.010804644
06/10/2000,,-0.019183302,-0.029842623,-0.014405606
09/10/2000,,-0.004951949,-0.025577753,-0.037582541
10/10/2000,,-0.010763626,-0.015630051,0.014917377
11/10/2000,,-0.016303544,-0.010619134,-0.032373467
12/10/2000,,-0.025840502,-0.005321136,0.011218235
13/10/2000,,0.032836397,-0.038126951,0.013536138
16/10/2000,,0.000327417,0.027398974,0.004266242
17/10/2000,,-0.018094959,-0.027398974,-0.035022913
18/10/2000,,-0.005824466,0.005527362,0.007016792
19/10/2000,,0.034153358,0.04853986,0.025151966
20/10/2000,,0.005865709,0.025975486,0.018011056
23/10/2000,,-0.000823573,-0.010345435,-0.006663359
24/10/2000,,0.001682231,0.010345435,0.001622985
25/10/2000,,-0.024054464,0.025317808,0.008040346
26/10/2000,,-0.000337078,0,0
27/10/2000,,0.011035017,0.009927358,0.019362613
30/10/2000,,0.01373553,0.004926965,-0.002684432
31/10/2000,,0.02174014,0.019524686,0.009958482
01/11/2000,,-0.005739118,0.004808239,0.023113831
02/11/2000,,0.004983271,-0.004808239,0.000513269
03/11/2000,,-0.001141853,-0.009686397,0.005313857
06/11/2000,,0.003847665,-0.044907158,-0.028474584
07/11/2000,,-0.000223459,0.010129054,0.005389213
08/11/2000,,-0.015902347,0.010085491,-0.003129158
09/11/2000,,-0.006506704,-0.015137193,-0.006928673
10/11/2000,,-0.024700112,-0.005077352,-0.005290154
13/11/2000,,-0.010834629,-0.025841541,-0.024000831
14/11/2000,,0.023181408,0.010392843,0.018333629
15/11/2000,,0.004948148,-0.015630051,-0.008948729
16/11/2000,,-0.012664309,0.015630051,0.014025854
17/11/2000,,-0.003357618,-0.015630051,-0.015168351
20/11/2000,,-0.018522191,-0.010619134,-0.010351824
21/11/2000,,0.003516771,-0.010670738,-0.003287356
22/11/2000,,-0.018721681,0.005349602,-0.002545558
23/11/2000,,0,0.01594027,0.01694487
24/11/2000,,0.014571619,0.036156101,0.021850362
27/11/2000,,0.0053517,0.005051702,-0.001118218
28/11/2000,,-0.0095939,0.010085491,-0.004039931
29/11/2000,,0.004346534,-0.00505918,-0.001143822
30/11/2000,,-0.02029533,0,-0.003767511
01/12/2000,,0.000212913,-0.015155365,-0.004370987
04/12/2000,,0.007378262,-0.025841541,-0.011701387
05/12/2000,,0.038183287,0.010392843,0.008614757
06/12/2000,,-0.018387615,0.035663243,0.011992773
07/12/2000,,-0.005870125,-0.00505918,-0.009485722
08/12/2000,,0.01941508,0.014986538,0.001138856
11/12/2000,,0.007497972,0.024451651,0.02362604
12/12/2000,,-0.006556733,0.00959347,-0.00593163
